Noise,Beta1,Window1,T1,Beta2,Window2,T2,PSNR
20,0.54,7,0.63,0.44,7,0.6,64.5212748222
20,0.54,7,0.63,0.44,7,0.6,55.4907806838
20,0.54,7,0.63,0.44,7,0.6,66.0166919603
20,0.54,7,0.63,0.44,7,0.8,61.5526711406
20,0.54,7,0.63,0.44,7,0.8,55.3679491659
20,0.54,7,0.63,0.44,7,0.8,65.135161575
20,0.54,7,0.63,0.44,7,0.8,60.9740271843
20,0.54,7,0.63,0.44,7,0.8,54.9562357122
20,0.54,7,0.63,0.64,7,0.6,58.2218074974
20,0.54,7,0.63,0.64,7,0.6,55.1482610799
20,0.54,7,0.63,0.64,7,0.6,58.6188642503
20,0.54,7,0.63,0.64,7,0.6,56.4794128511
20,0.54,7,0.63,0.64,7,0.6,58.396406749
20,0.54,7,0.63,0.64,7,0.8,66.4361074478
20,0.54,7,0.63,0.64,7,0.8,58.3633076623
20,0.54,7,0.63,0.64,7,0.8,57.8505615535
20,0.54,7,0.63,0.64,7,0.8,57.9123193423
20,0.54,7,0.63,0.64,7,0.8,56.0079043922
20,0.54,7,0.83,0.44,7,0.6,53.3727372891
20,0.54,7,0.83,0.44,7,0.6,58.0791449563
20,0.54,7,0.83,0.44,7,0.6,64.479839365
20,0.54,7,0.83,0.44,7,0.6,59.0787234619
20,0.54,7,0.83,0.44,7,0.6,56.0509549782
20,0.54,7,0.83,0.44,7,0.8,59.5030375357
20,0.54,7,0.83,0.44,7,0.8,58.9654829524
20,0.54,7,0.83,0.44,7,0.8,57.3680170677
20,0.54,7,0.83,0.44,7,0.8,55.0890255842
20,0.54,7,0.83,0.44,7,0.8,55.1034216006
20,0.54,7,0.83,0.64,7,0.6,61.4271113008
20,0.54,7,0.83,0.64,7,0.6,61.4651389562
20,0.54,7,0.83,0.64,7,0.6,56.0522706763
20,0.54,7,0.83,0.64,7,0.6,55.6665725127
20,0.54,7,0.83,0.64,7,0.6,56.8659994724
20,0.54,7,0.83,0.64,7,0.8,55.5054790964
20,0.54,7,0.83,0.64,7,0.8,58.9410677756
20,0.54,7,0.83,0.64,7,0.8,58.7267548401
20,0.54,7,0.83,0.64,7,0.8,52.9538043029
20,0.54,7,0.83,0.64,7,0.8,56.3540293172
30,0.34,7,0.63,0.44,7,0.6,54.3646252598
30,0.34,7,0.63,0.44,7,0.6,48.8057063261
30,0.34,7,0.63,0.44,7,0.6,49.4767845464
30,0.34,7,0.63,0.44,7,0.6,53.0034504909
30,0.34,7,0.63,0.44,7,0.6,58.1769045129
30,0.34,7,0.63,0.44,7,0.8,61.9460243184
30,0.34,7,0.63,0.44,7,0.8,54.2408906993
30,0.34,7,0.63,0.44,7,0.8,53.4434597883
