date	time	wind_gen_forecast	wind_gen_actual
10/3/2010	20:05	2421	2519
10/3/2010	20:10	2444	2514
10/3/2010	20:15	2444	2514
10/3/2010	20:20	2444	2526
10/3/2010	20:25	2444	2534
10/3/2010	20:30	2444	2567
10/3/2010	20:35	2444	2590
10/3/2010	20:40	2444	2604
10/3/2010	20:45	2444	2618
10/3/2010	20:50	2444	2619
10/3/2010	20:55	2432	2623
10/3/2010	21:00	2428	2623
10/3/2010	21:05	2422	2617
10/3/2010	21:10	2429	2604
10/3/2010	21:15	2429	2610
10/3/2010	21:20	2429	2585
10/3/2010	21:25	2429	2571
10/3/2010	21:30	2429	2566
10/3/2010	21:35	2429	2575
10/3/2010	21:40	2429	2588
10/3/2010	21:45	2429	2603
10/3/2010	21:50	2429	2628
10/3/2010	21:55	2458	2641
10/3/2010	22:00	2495	2631
10/3/2010	22:05	2533	2622
10/3/2010	22:10	2578	2610
10/3/2010	22:15	2578	2587
10/3/2010	22:20	2578	2562
10/3/2010	22:25	2578	2557
10/3/2010	22:30	2578	2553
10/3/2010	22:35	2578	2575
10/3/2010	22:40	2578	2581
10/3/2010	22:45	2578	2596
10/3/2010	22:50	2578	2623
10/3/2010	22:55	2574	2640
10/3/2010	23:00	2580	2645
10/3/2010	23:05	2586	2645
10/3/2010	23:10	2598	2657
10/3/2010	23:15	2593	2662
10/3/2010	23:20	2593	2660
10/3/2010	23:25	2593	2645
10/3/2010	23:30	2593	2655
10/3/2010	23:35	2593	2653
10/3/2010	23:40	2593	2641
10/3/2010	23:45	2593	2634
10/3/2010	23:50	2593	2641
10/3/2010	23:55	2573	2649
10/4/2010	0:00	2562	2658
10/4/2010	0:05	2552	2685
10/4/2010	0:10	2550	2685
10/4/2010	0:15	2575	2675
10/4/2010	0:20	2575	2669
10/4/2010	0:25	2575	2670
10/4/2010	0:30	2575	2628
10/4/2010	0:35	2575	2620
10/4/2010	0:40	2575	2609
10/4/2010	0:45	2575	2599
10/4/2010	0:50	2575	2583
10/4/2010	0:55	2551	2577
10/4/2010	1:00	2539	2571
10/4/2010	1:05	2526	2545
