Noise,SigD,SigI,PSNR
30,3.0,2.5,60.2349901423
30,3.0,2.5,60.2401093766
30,3.0,2.5,58.2535227523
30,3.0,2.5,57.614795301
30,3.0,2.5,65.3529833597
30,3.0,3.0,61.7222506606
30,3.0,3.0,60.5182505458
30,3.0,3.0,60.2001608751
30,3.0,3.0,64.0102465501
30,3.0,3.0,61.1192219958
1,1.8,2.8,107.586116692
1,1.8,2.8,109.880857455
1,1.8,2.8,107.967797094
1,1.8,2.8,108.309276811
1,1.8,2.8,107.50648288
1,1.8,3.0,107.95492288
1,1.8,3.0,107.563068154
1,1.8,3.0,106.572490245
1,1.8,3.0,106.845838091
1,1.8,3.0,107.644236698
1,1.8,3.2,106.74338364
1,1.8,3.2,107.333999418
1,1.8,3.2,107.581239148
1,1.8,3.2,108.103808765
1,1.8,3.2,107.48825041
1,2.0,2.8,104.944534951
1,2.0,2.8,103.747538262
1,2.0,2.8,103.871491879
1,2.0,2.8,105.243505027
1,2.0,2.8,105.411570711
1,2.0,3.0,105.74980912
1,2.0,3.0,104.400380373
1,2.0,3.0,105.024449932
1,2.0,3.0,104.347826988
1,2.0,3.0,104.768449573
1,2.0,3.2,105.186735411
1,2.0,3.2,104.264318547
1,2.0,3.2,105.220627974
1,2.0,3.2,104.307619108
1,2.0,3.2,104.74090013
1,2.2,2.8,103.181210661
1,2.2,2.8,103.297544909
1,2.2,2.8,103.314858271
1,2.2,2.8,102.728217259
1,2.2,2.8,103.076325932
1,2.2,3.0,102.401517526
1,2.2,3.0,102.244153395
1,2.2,3.0,101.567552372
1,2.2,3.0,101.996820805
1,2.2,3.0,101.125247063
1,2.2,3.2,101.595073761
1,2.2,3.2,101.841943126
1,2.2,3.2,101.42210989
1,2.2,3.2,102.599286586
1,2.2,3.2,102.176900273
5,1.8,2.8,98.0473438631
5,1.8,2.8,101.495208834
5,1.8,2.8,95.6043288148
5,1.8,2.8,95.40144926
5,1.8,2.8,93.6503497989
5,1.8,3.0,97.1430508562
5,1.8,3.0,96.2125152733
5,1.8,3.0,94.7111216655
5,1.8,3.0,94.5105503708
5,1.8,3.0,98.8378068945
5,1.8,3.2,97.8848870275
5,1.8,3.2,96.912366245
5,1.8,3.2,96.0866662406
5,1.8,3.2,96.7192290271
5,1.8,3.2,98.4331467393
5,2.0,2.8,94.5511742542
5,2.0,2.8,95.6730126012
5,2.0,2.8,96.9611400004
5,2.0,2.8,96.0395157832
5,2.0,2.8,96.9161876493
5,2.0,3.0,95.6702325612
5,2.0,3.0,96.4225597798
5,2.0,3.0,95.6978516042
5,2.0,3.0,95.663009386
5,2.0,3.0,96.7788817308
5,2.0,3.2,93.0998940889
5,2.0,3.2,93.4359590294
5,2.0,3.2,98.1267872205
5,2.0,3.2,99.5458954319
5,2.0,3.2,96.2474777399
5,2.2,2.8,92.4193576818
5,2.2,2.8,92.5175037714
5,2.2,2.8,94.7134713002
5,2.2,2.8,96.3051419731
5,2.2,2.8,92.0128190859
5,2.2,3.0,92.5848384093
5,2.2,3.0,97.4414122205
5,2.2,3.0,96.6447833436
5,2.2,3.0,96.5872119207
5,2.2,3.0,98.3422950113
5,2.2,3.2,95.9808850256
5,2.2,3.2,96.1850343217
5,2.2,3.2,95.3610681186
5,2.2,3.2,94.7748627438
5,2.2,3.2,98.5633802703
10,1.8,2.8,86.6981480508
10,1.8,2.8,85.967678493
10,1.8,2.8,82.2844776713
10,1.8,2.8,85.5623251895
10,1.8,2.8,85.6217930394
10,1.8,3.0,84.8627930534
10,1.8,3.0,82.8364218124
10,1.8,3.0,82.4082074218
10,1.8,3.0,84.7968362245
10,1.8,3.0,84.023317029
10,1.8,3.2,86.279307804
10,1.8,3.2,87.506755923
10,1.8,3.2,83.5612416678
10,1.8,3.2,85.2591461832
10,1.8,3.2,89.9407465984
10,2.0,2.8,81.5101493392
10,2.0,2.8,86.8240961973
10,2.0,2.8,82.1939424767
10,2.0,2.8,83.0383684833
10,2.0,2.8,82.8224772454
10,2.0,3.0,84.8861578856
10,2.0,3.0,79.8047423827
10,2.0,3.0,81.0450988351
10,2.0,3.0,87.0169226474
10,2.0,3.0,81.7407175342
10,2.0,3.2,87.7879436508
10,2.0,3.2,81.8388013929
10,2.0,3.2,83.8924353247
10,2.0,3.2,87.051738004
10,2.0,3.2,85.7579513564
10,2.2,2.8,86.0244783154
10,2.2,2.8,86.3425901925
10,2.2,2.8,89.5439697071
10,2.2,2.8,85.9668647843
10,2.2,2.8,81.9594570673
10,2.2,3.0,85.1507376739
10,2.2,3.0,81.790913148
10,2.2,3.0,86.9562099819
10,2.2,3.0,86.974548398
10,2.2,3.0,86.6857788008
10,2.2,3.2,87.7409099736
10,2.2,3.2,85.6261953811
10,2.2,3.2,86.7688737371
10,2.2,3.2,88.891469061
10,2.2,3.2,91.0399942889
20,1.8,2.8,70.9845251874
20,1.8,2.8,71.1271401332
20,1.8,2.8,68.7872916924
20,1.8,2.8,71.8132812322
20,1.8,2.8,69.8996878668
20,1.8,3.0,74.5167280597
20,1.8,3.0,71.6613656541
20,1.8,3.0,72.314133987
20,1.8,3.0,74.6432752586
20,1.8,3.0,68.679116469
20,1.8,3.2,71.4533269847
20,1.8,3.2,70.294592241
20,1.8,3.2,73.4788556119
20,1.8,3.2,66.5131543196
20,1.8,3.2,70.4733230331
20,2.0,2.8,69.6300194114
20,2.0,2.8,71.1764473185
20,2.0,2.8,71.0932105249
20,2.0,2.8,70.7265291831
20,2.0,2.8,66.8161396489
20,2.0,3.0,68.3383953796
20,2.0,3.0,71.974714633
20,2.0,3.0,74.4649539308
20,2.0,3.0,67.9086115092
20,2.0,3.0,68.6596691425
20,2.0,3.2,69.7974561655
20,2.0,3.2,70.6904829478
20,2.0,3.2,70.2486729726
20,2.0,3.2,71.3198392945
20,2.0,3.2,68.4907548141
20,2.2,2.8,71.9079108225
20,2.2,2.8,70.0564704998
20,2.2,2.8,72.0952089843
20,2.2,2.8,73.9855653016
20,2.2,2.8,68.9594311715
20,2.2,3.0,71.4754159818
20,2.2,3.0,68.848355529
20,2.2,3.0,71.0432064511
20,2.2,3.0,71.2678327919
20,2.2,3.0,72.8834304517
20,2.2,3.2,67.7220484203
20,2.2,3.2,69.3792895053
20,2.2,3.2,71.5009772129
20,2.2,3.2,72.5984666984
20,2.2,3.2,73.4513400573
30,1.8,2.8,59.7226103797
30,1.8,2.8,57.7887490375
30,1.8,2.8,62.6374752282
30,1.8,2.8,59.1630812209
30,1.8,2.8,64.4955211691
30,1.8,3.0,63.9068164977
30,1.8,3.0,61.7667939542
30,1.8,3.0,61.2127843426
30,1.8,3.0,59.9321133417
30,1.8,3.0,56.2665331552
30,1.8,3.2,62.0762543018
30,1.8,3.2,63.0066554793
30,1.8,3.2,62.8623758433
30,1.8,3.2,61.8424588634
30,1.8,3.2,61.0472821732
30,2.0,2.8,60.1736908474
30,2.0,2.8,62.9370431861
30,2.0,2.8,59.3664515319
30,2.0,2.8,64.3700142105
30,2.0,2.8,61.4078467306
30,2.0,3.0,61.1138448
30,2.0,3.0,58.2865771638
30,2.0,3.0,59.940317717
30,2.0,3.0,67.89573692
30,2.0,3.0,62.0916414431
30,2.0,3.2,63.0847121426
30,2.0,3.2,62.2579462685
30,2.0,3.2,62.1892332214
30,2.0,3.2,60.6883901359
30,2.0,3.2,59.8709895291
30,2.2,2.8,65.0891929381
30,2.2,2.8,59.7074086341
30,2.2,2.8,62.9019417905
30,2.2,2.8,61.3038724361
30,2.2,2.8,64.7486408248
30,2.2,3.0,61.8715784594
30,2.2,3.0,65.7109095114
30,2.2,3.0,60.9724119581
30,2.2,3.0,60.7063149664
30,2.2,3.0,63.7471655752
30,2.2,3.2,63.3215254794
30,2.2,3.2,63.4938351146
30,2.2,3.2,67.4050741071
30,2.2,3.2,61.0727000067
30,2.2,3.2,61.4013257774
1,1.8,2.8,107.805250277
1,1.8,2.8,108.326609825
1,1.8,2.8,108.027715489
1,1.8,2.8,107.939570918
1,1.8,2.8,106.876309455
1,1.8,3.0,107.924570609
1,1.8,3.0,107.410856599
1,1.8,3.0,108.881696733
1,1.8,3.0,106.902037548
1,1.8,3.0,106.559031694
1,1.8,3.2,107.704102647
1,1.8,3.2,107.859179861
1,1.8,3.2,106.264525962
1,1.8,3.2,107.883079076
1,1.8,3.2,106.893429283
1,2.0,2.8,104.519495189
1,2.0,2.8,105.815775068
1,2.0,2.8,104.890893724
1,2.0,2.8,105.014578024
1,2.0,2.8,106.287478065
1,2.0,3.0,105.454466479
1,2.0,3.0,104.66280487
1,2.0,3.0,104.346964654
1,2.0,3.0,105.718940322
1,2.0,3.0,103.577988061
1,2.0,3.2,106.077094249
1,2.0,3.2,104.893261992
1,2.0,3.2,104.860189438
1,2.0,3.2,105.314544719
1,2.0,3.2,104.864472684
1,2.2,2.8,103.006497818
1,2.2,2.8,103.717310248
1,2.2,2.8,102.305633504
1,2.2,2.8,102.982260581
1,2.2,2.8,102.896169729
1,2.2,3.0,102.04518738
1,2.2,3.0,103.323761724
1,2.2,3.0,102.474530675
1,2.2,3.0,101.390546056
1,2.2,3.0,103.780591802
1,2.2,3.2,101.735299084
