Noise,SigD,SigI,Beta,Window,T,PSNR
1,2.5,2.3,0.85,7,1.0,107.523388137
1,2.5,2.3,0.85,7,1.0,104.87864606
1,2.5,2.3,0.85,7,1.0,106.02125764
1,2.5,2.5,0.65,7,1.0,108.725724346
1,2.5,2.5,0.65,7,1.0,112.487339672
1,2.5,2.5,0.65,7,1.0,110.912247287
1,2.5,2.5,0.65,7,1.0,111.182646466
1,2.5,2.5,0.65,7,1.0,110.43030268
1,2.5,2.5,0.85,7,1.0,106.084929584
1,2.5,2.5,0.85,7,1.0,107.56072884
1,2.5,2.5,0.85,7,1.0,106.128808501
1,2.5,2.5,0.85,7,1.0,106.167478708
1,2.5,2.5,0.85,7,1.0,108.839866938
1,2.7,2.3,0.65,7,1.0,108.688459985
1,2.7,2.3,0.65,7,1.0,109.37514413
1,2.7,2.3,0.65,7,1.0,110.060236324
1,2.7,2.3,0.65,7,1.0,109.801406957
1,2.7,2.3,0.65,7,1.0,108.522203479
1,2.7,2.3,0.85,7,1.0,108.204755966
1,2.7,2.3,0.85,7,1.0,107.235324967
1,2.7,2.3,0.85,7,1.0,106.050551084
1,2.7,2.3,0.85,7,1.0,105.845474126
1,2.7,2.3,0.85,7,1.0,106.370140562
1,2.7,2.5,0.65,7,1.0,107.112219701
1,2.7,2.5,0.65,7,1.0,108.708980138
1,2.7,2.5,0.65,7,1.0,107.261733143
1,2.7,2.5,0.65,7,1.0,108.69149311
1,2.7,2.5,0.65,7,1.0,108.177720712
1,2.7,2.5,0.85,7,1.0,105.402841293
1,2.7,2.5,0.85,7,1.0,106.666212819
1,2.7,2.5,0.85,7,1.0,107.201789094
1,2.7,2.5,0.85,7,1.0,107.312741005
1,2.7,2.5,0.85,7,1.0,105.930907362
5,2.5,2.3,0.65,7,1.0,91.3084257133
5,2.5,2.3,0.65,7,1.0,99.0276263095
5,2.5,2.3,0.65,7,1.0,97.3946829223
5,2.5,2.3,0.65,7,1.0,92.5034308627
5,2.5,2.3,0.65,7,1.0,94.5625564613
5,2.5,2.3,0.85,7,1.0,94.8835687117
5,2.5,2.3,0.85,7,1.0,95.187696567
5,2.5,2.3,0.85,7,1.0,92.3420918904
5,2.5,2.3,0.85,7,1.0,96.2661564642
5,2.5,2.3,0.85,7,1.0,96.7803020299
5,2.5,2.5,0.65,7,1.0,98.4613596263
5,2.5,2.5,0.65,7,1.0,91.8107799834
5,2.5,2.5,0.65,7,1.0,96.1572755361
5,2.5,2.5,0.65,7,1.0,98.370418149
5,2.5,2.5,0.65,7,1.0,92.8460926524
5,2.5,2.5,0.85,7,1.0,94.5794510608
5,2.5,2.5,0.85,7,1.0,94.1925712099
5,2.5,2.5,0.85,7,1.0,94.0545272696
5,2.5,2.5,0.85,7,1.0,96.1932426072
5,2.5,2.5,0.85,7,1.0,96.1946515901
5,2.7,2.3,0.65,7,1.0,97.2025755594
5,2.7,2.3,0.65,7,1.0,95.2834276885
5,2.7,2.3,0.65,7,1.0,95.6660767744
5,2.7,2.3,0.65,7,1.0,92.1845933594
5,2.7,2.3,0.65,7,1.0,94.0450999552
5,2.7,2.3,0.85,7,1.0,93.7940405485
5,2.7,2.3,0.85,7,1.0,94.4149752271
5,2.7,2.3,0.85,7,1.0,96.2536870468
5,2.7,2.3,0.85,7,1.0,91.8348239297
5,2.7,2.3,0.85,7,1.0,95.3547757208
5,2.7,2.5,0.65,7,1.0,89.8896093704
5,2.7,2.5,0.65,7,1.0,96.4192211855
5,2.7,2.5,0.65,7,1.0,96.3538241482
5,2.7,2.5,0.65,7,1.0,94.7948627357
5,2.7,2.5,0.65,7,1.0,96.97781109
5,2.7,2.5,0.85,7,1.0,95.0048574783
5,2.7,2.5,0.85,7,1.0,96.924489081
5,2.7,2.5,0.85,7,1.0,93.6744645265
5,2.7,2.5,0.85,7,1.0,100.53581397
5,2.7,2.5,0.85,7,1.0,95.9206777293
10,2.5,2.3,0.65,7,1.0,85.9273713717
10,2.5,2.3,0.65,7,1.0,76.4358350329
10,2.5,2.3,0.65,7,1.0,82.3851555161
10,2.5,2.3,0.65,7,1.0,73.7825885184
10,2.5,2.3,0.65,7,1.0,75.7138642418
10,2.5,2.3,0.85,7,1.0,74.3183708991
10,2.5,2.3,0.85,7,1.0,78.7476883534
10,2.5,2.3,0.85,7,1.0,73.9072862756
10,2.5,2.3,0.85,7,1.0,73.4630137645
10,2.5,2.3,0.85,7,1.0,76.9691155703
10,2.5,2.5,0.65,7,1.0,75.9370238085
10,2.5,2.5,0.65,7,1.0,73.6918172482
10,2.5,2.5,0.65,7,1.0,81.1455584693
10,2.5,2.5,0.65,7,1.0,82.8946760219
10,2.5,2.5,0.65,7,1.0,78.4103698206
10,2.5,2.5,0.85,7,1.0,76.5611794949
10,2.5,2.5,0.85,7,1.0,80.502755698
10,2.5,2.5,0.85,7,1.0,78.2337405679
10,2.5,2.5,0.85,7,1.0,79.3399124107
10,2.5,2.5,0.85,7,1.0,79.5321516054
10,2.7,2.3,0.65,7,1.0,79.8317887826
10,2.7,2.3,0.65,7,1.0,74.9104131016
10,2.7,2.3,0.65,7,1.0,75.1806377764
10,2.7,2.3,0.65,7,1.0,73.089824474
10,2.7,2.3,0.65,7,1.0,77.7065485247
