Noise,Beta,Window,T,PSNR
30,0.5,9,0.925,53.7603541129
30,0.5,9,0.925,54.1237919892
30,0.5,9,0.925,57.4429804203
30,0.5,9,0.95,54.2724087653
30,0.5,9,0.95,52.4787846552
30,0.5,9,0.95,49.8306092261
30,0.5,9,0.95,55.4715314886
30,0.5,9,0.95,50.5268434388
30,0.5,9,0.975,54.7694084619
30,0.5,9,0.975,54.2066717348
30,0.5,9,0.975,53.5223807785
30,0.5,9,0.975,48.924367473
30,0.5,9,0.975,50.7615480963
30,0.75,3,0.9,49.888862706
30,0.75,3,0.9,49.5441305097
30,0.75,3,0.9,50.7319340443
30,0.75,3,0.9,55.4197320285
30,0.75,3,0.9,49.5439556039
30,0.75,3,0.925,54.0224889928
30,0.75,3,0.925,49.3579142313
30,0.75,3,0.925,50.0574354682
30,0.75,3,0.925,51.2014419561
30,0.75,3,0.925,51.0729593705
30,0.75,3,0.95,50.6197798506
30,0.75,3,0.95,50.3641296619
30,0.75,3,0.95,52.4475848852
30,0.75,3,0.95,50.2803563662
30,0.75,3,0.95,51.493168668
30,0.75,3,0.975,52.3848764005
30,0.75,3,0.975,52.9095884653
30,0.75,3,0.975,50.9649897375
30,0.75,3,0.975,49.5559259884
30,0.75,3,0.975,49.3704037868
30,0.75,5,0.9,52.2685131309
30,0.75,5,0.9,50.4638165211
30,0.75,5,0.9,51.4056307897
30,0.75,5,0.9,50.0158226083
30,0.75,5,0.9,49.6175920353
30,0.75,5,0.925,52.3437868504
30,0.75,5,0.925,49.9231236398
30,0.75,5,0.925,48.5799906199
30,0.75,5,0.925,53.267976227
30,0.75,5,0.925,54.710777587
30,0.75,5,0.95,49.9494216842
30,0.75,5,0.95,51.8548283664
30,0.75,5,0.95,53.4857292042
30,0.75,5,0.95,52.5477099818
30,0.75,5,0.95,51.7873599156
30,0.75,5,0.975,52.8300196833
30,0.75,5,0.975,53.0617407066
30,0.75,5,0.975,49.2914409975
30,0.75,5,0.975,51.7741996829
30,0.75,5,0.975,51.6622366818
30,0.75,7,0.9,52.9144800168
30,0.75,7,0.9,51.5978021821
30,0.75,7,0.9,50.984467556
30,0.75,7,0.9,51.4558662738
30,0.75,7,0.9,50.5515509634
30,0.75,7,0.925,50.2856922639
30,0.75,7,0.925,55.6579560226
30,0.75,7,0.925,53.5370274042
30,0.75,7,0.925,55.7438347049
30,0.75,7,0.925,52.8769199263
30,0.75,7,0.95,55.2217583879
30,0.75,7,0.95,52.6147459793
30,0.75,7,0.95,50.3503227588
30,0.75,7,0.95,51.3296098982
30,0.75,7,0.95,51.17996875
30,0.75,7,0.975,49.9334923597
30,0.75,7,0.975,52.4317996909
30,0.75,7,0.975,51.1553040129
30,0.75,7,0.975,53.0160605013
30,0.75,7,0.975,54.7545759481
30,0.75,9,0.9,50.8970364147
30,0.75,9,0.9,48.5785507151
30,0.75,9,0.9,52.8680350949
30,0.75,9,0.9,53.1243467027
30,0.75,9,0.9,52.6952690766
30,0.75,9,0.925,50.3293241979
30,0.75,9,0.925,53.727755719
30,0.75,9,0.925,52.4472981597
30,0.75,9,0.925,52.2208856723
